S/N,Autoclave,Form Filled By,Form Filled At,Machine Idle,Batch ID,BT- Recipe,Shift,Supervisor,Operator,Batch Start Time (HH:MM),Loading Temp (°C),Loading Pressure (kg/cm2),Loading Time (HH:MM),Loading Duration (HH:MM),Close Top Door Temp (°C),Close Top Door Pressure (kg/cm2),Close Top Door Time (HH:MM),Heat Valve Open Temp (°C),Heat Valve Open Pressure (kg/cm2),Heat Valve Open Time (HH:MM),Steam Valve Open Temp (°C),Steam Valve Open Pressure (kg/cm2),Steam Valve Open Time (HH:MM),Steam Valve Close Temp (°C),Steam Valve Close Pressure (kg/cm2),Steam Valve Close Time (HH:MM),Heat Valve Close Temp (°C),Heat Valve Close Pressure (kg/cm2),Heat Valve Close Time (HH:MM),Low TF Temp Duration(Mins) (Below 260°C),Cooking Start Time (HH:MM),Cooking Stop Time (HH:MM),Cooking Duration (HH:MM),Discharge Valve Open Temp (°C),Discharge Valve Open Pressure (kg/cm2),Discharge Valve Open Time (HH:MM),Discharge Start Time (HH:MM),Discharge Stop Time (HH:MM),Discharge Duration (HH:MM),Cooling Valve Open Temp(°C),Cooling Valve Open Pressure (kg/cm2),Cooling Valve Open Time (HH:MM),Cooling Valve Close Temp(°C),Cooling Valve Close Pressure (kg/cm2),Cooling Valve Close Time (HH:MM),Cooling Duration (HH:MM),Waiting Temp(°C),Waiting Pressure (kg/cm2),Waiting Time (HH:MM),Top door ( sample collect ) Temp(°C),Top door ( sample collect ) Pressure (kg/cm2),Top door ( sample collect ) Time (HH:MM),Sampling End Time (HH:MM),Sampling Duration (HH:MM),Bottom Door Open Temp(°C),Bottom Door Open Pressure (kg/cm2),Bottom Door Open Time (HH:MM),Unload Complete Temp(°C),Unload Complete Pressure (kg/cm2),Unload Complete Time (HH:MM),Unloading Duration (HH:MM),Bottom Door Close Temp(°C),Bottom Door Close Pressure (kg/cm2),Bottom Door Close Time (HH:MM),Comment,Customer,Batch kWh,Standard Batch Duration(Hrs),Actual Batch Duration (Mins),Batch End Time (HH:MM)
43,AC10,operator5_sl02@grpweb.com,2026-02-16 23:51:31.559,,BT-040405-0,BT- Recipe1,Shift 3,Gadagi,Methre,17:8,0,0.0,0:0,00:00:00,0,0.0,0:0,0,0.0,0:0,88,0.11,17:32,123,4.34,17:41,227,13.4,21:16,224,0:0,21:15,04:07:00,0,0,0:0,0:0,0:0,00:00:00,224,6.83,21:18,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.1,23:19,0,0.0,0:0,00:26:00,0,0.0,0:0,,Pirelli,,5,397,0:0
44,AC10,operator5_sl02@grpweb.com,2026-02-16 16:35:08.471,,BT-040402-0,BT- Recipe1,Shift 2,Chavan,shinde,8:22,95,0.1,16:31,01:35:00,95,0.1,16:31,84,0.03,8:42,82,0.05,9:11,127,4.82,9:26,224,14.53,13:15,271,8:42,13:14,04:31:00,0,0,0:0,0:0,0:0,00:00:00,209,0.13,13:22,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,114,0.1,15:53,95,0.1,16:31,00:37:00,95,0.1,16:31,,Pirelli,,5,488,16:31
45,AC10,operator5_sl02@grpweb.com,2026-02-15 19:02:13.473,,BT-040396-0,BT- Recipe1,Shift 2,Other,Dhasade,12:50,99,0.08,13:2,01:39:00,88,0.07,13:8,86,0.05,13:10,89,0.37,13:39,121,4.66,13:55,222,14.96,17:6,234,13:10,17:5,03:54:00,0,0,0:0,0:0,0:0,00:00:00,209,0.31,17:10,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.1,18:4,97,0.05,0:0,00:54:00,97,0.05,0:0,,Pirelli,,5,368,0:0
46,AC10,operator5_sl02@grpweb.com,2026-02-14 23:01:53.830,,BT-040391-0,BT- Recipe1,Shift 1,Other,Dhasade,16:20,0,0.0,0:0,00:00:00,0,0.0,0:0,76,0.03,16:50,82,0.2,17:22,103,3.29,17:31,223,15.6,20:51,219,16:50,20:50,03:59:00,0,0,0:0,0:0,0:0,00:00:00,203,0.12,20:59,75,0.1,16:53,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.08,22:23,94,0.05,22:59,00:35:00,94,0.05,22:59,,Pirelli,,5,399,22:59
47,AC10,operator5_sl02@grpweb.com,2026-02-14 16:19:52.446,,BT-040389-0,BT- Recipe1,Shift 2,Other,Dhasade,4:11,94,0.07,4:12,01:34:00,83,0.07,4:35,83,0.05,4:37,86,0.15,5:6,108,5.53,5:16,222,13.79,9:0,262,4:37,8:59,04:22:00,0,0,0:0,0:0,0:0,00:00:00,205,0.18,9:9,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,97,0.07,15:46,83,0.07,16:17,00:30:00,83,0.07,16:17,,Pirelli,,5,725,16:17
48,AC10,operator5_sl02@grpweb.com,2026-02-14 04:11:54.936,,BT-040387-0,BT- Recipe1,Shift 3,Gadagi,Methre,21:22,0,0.0,0:0,00:00:00,84,0.01,21:39,84,0.01,21:40,85,0.11,22:12,118,6.0,22:22,222,13.82,1:57,248,21:40,1:56,04:15:00,0,0,0:0,0:0,0:0,00:00:00,220,5.93,1:59,83,0.05,21:42,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,96,0.08,3:40,89,0.07,4:7,00:27:00,89,0.07,4:7,Money check ,Pirelli,Money check ,5,405,4:7
49,AC10,operator5_sl02@grpweb.com,2026-02-13 21:22:50.807,,BT-040385-0,BT- Recipe1,Shift 2,Other,Rajput,14:11,86,0.0,21:19,01:26:00,86,0.0,21:19,223,11.39,18:32,94,0.24,14:58,128,8.12,15:9,221,11.41,18:34,218,18:32,18:33,04:00:00,0,0,0:0,0:0,0:0,00:00:00,223,11.42,18:32,107,0.09,14:12,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,98,0.09,20:50,86,0.0,21:19,00:29:00,86,0.0,21:19,7:30pm to8:50pm money check. and unloading is no f,Pirelli,7:30pm to8:50pm money check. and unloading is no f,5,427,21:19
50,AC10,operator5_sl02@grpweb.com,2026-02-13 14:11:17.818,,BT-040383-0,BT- Recipe1,Shift 1,Other,Dixit,7:50,104,0.13,7:50,01:44:00,91,0.08,8:9,91,0.13,8:12,94,0.32,8:43,120,4.8,8:57,219,8.21,12:26,252,8:12,12:25,04:12:00,0,0,0:0,0:0,0:0,00:00:00,206,0.14,12:33,91,0.06,8:12,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.19,13:24,99,0.09,14:5,00:40:00,99,0.09,14:5,,Other,,5,375,14:5
51,AC10,operator5_sl02@grpweb.com,2026-02-13 07:49:05.657,,BT-040381-0,BT- Recipe1,Shift 1,Other,Dixit,1:39,0,0.0,0:0,00:00:00,0,0.0,0:0,97,0.13,2:14,94,0.15,2:41,140,7.53,2:58,222,13.79,6:13,237,2:14,6:12,03:57:00,0,0,0:0,0:0,0:0,00:00:00,210,1.24,6:18,97,0.14,2:14,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.13,7:16,98,0.14,7:45,00:29:00,98,0.14,7:45,,Other,,5,366,7:45
52,AC10,operator5_sl02@grpweb.com,2026-02-13 01:39:29.231,,BT-040379-0,BT- Recipe1,Shift 3,Gadagi,Dhasade,19:38,99,0.1,19:39,01:39:00,83,0.02,19:59,81,0.08,20:0,91,0.56,20:31,118,4.38,20:42,225,16.08,0:1,233,20:0,0:0,03:59:00,0,0,0:0,0:0,0:0,00:00:00,217,0.8,0:8,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.14,1:4,106,0.16,1:35,00:31:00,106,0.16,1:35,,Pirelli,,5,356,1:35
53,AC10,operator5_sl02@grpweb.com,2026-02-12 19:34:39.055,,BT-040376-0,BT- Recipe1,Shift 2,Shille,Other,12:50,106,0.01,12:51,01:46:00,93,0.05,13:24,93,0.06,13:26,98,0.16,13:57,147,6.93,14:23,224,15.69,17:0,175,13:26,16:59,03:32:00,0,0,0:0,0:0,0:0,00:00:00,222,6.01,17:1,93,0.06,13:26,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.09,18:29,92,0.11,19:31,01:02:00,92,0.11,19:31,,Pirelli,,5,401,19:31
54,AC10,operator5_sl02@grpweb.com,2026-02-12 12:49:59.767,,BT-040364-0,BT- Recipe1,Shift 1,Other,Dixit,6:17,0,0.0,0:0,00:00:00,0,0.0,0:0,82,0.09,6:43,89,0.07,7:15,122,4.0,7:28,217,2.5,11:23,278,6:43,11:22,04:38:00,0,0,0:0,0:0,0:0,00:00:00,209,0.18,11:27,83,0.08,6:41,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,103,0.08,12:11,101,0.03,0:0,00:35:00,101,0.03,0:0,,Other,,5,389,0:0
55,AC10,operator5_sl02@grpweb.com,2026-02-12 06:17:54.624,,BT-040362-0,BT- Recipe1,Shift 3,Chavan,Rajput,23:13,0,0.0,0:0,00:00:00,0,0.0,0:0,89,0.04,23:36,93,0.3,0:4,122,4.32,0:15,219,5.53,4:17,280,23:36,4:16,04:40:00,0,0,0:0,0:0,0:0,00:00:00,217,0.38,4:19,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,107,0.07,5:19,86,0.05,6:13,00:54:00,86,0.05,6:13,,Pirelli,,5,419,6:13
56,AC10,operator5_sl02@grpweb.com,2026-02-11 23:04:27.941,,BT-040359-0,BT- Recipe1,Shift 2,Other,Swami LM,16:11,109,0.03,16:34,01:49:00,109,0.03,16:35,108,0.08,16:36,106,0.36,17:4,121,4.01,17:14,223,9.53,20:45,247,16:36,20:44,04:07:00,0,0,0:0,0:0,0:0,00:00:00,217,0.57,20:49,104,0.02,23:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.07,21:42,104,0.04,22:59,01:16:00,104,0.04,22:59,,Pirelli,,5,407,22:59
57,AC10,operator5_sl02@grpweb.com,2026-02-11 16:02:04.643,,BT-040357-0,BT- Recipe1,Shift 1,Shille,Badkas,9:49,113,0.11,9:50,01:53:00,101,0.14,10:13,99,0.11,10:15,99,0.16,10:47,120,3.86,11:1,222,13.99,14:41,264,10:15,14:40,04:24:00,0,0,0:0,0:0,0:0,00:00:00,212,0.27,14:47,92,0.1,10:19,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,117,0.11,15:30,116,0.04,15:58,00:28:00,116,0.04,15:58,,Pirelli,,5,369,15:58
58,AC10,operator5_sl02@grpweb.com,2026-02-11 09:46:34.518,,BT-040356-0,BT- Recipe1,Shift 1,Other,Dixit,3:13,0,0.0,0:0,00:00:00,0,0.0,0:0,0,0.0,0:0,97,0.3,3:46,114,5.33,3:53,220,12.25,7:42,267,0:0,7:41,04:27:00,0,0,0:0,0:0,0:0,00:00:00,211,0.26,7:47,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,112,0.14,9:7,104,0.09,0:0,00:36:00,104,0.09,0:0,,Alfredo,,5,390,0:0
59,AC10,operator5_sl02@grpweb.com,2026-02-11 02:41:32.400,,BT-040354-0,BT- Recipe1,Shift 3,Gadagi,shinde,20:23,105,0.08,20:25,01:45:00,101,0.03,20:44,99,0.05,20:46,96,0.16,21:13,116,4.3,21:24,222,10.32,0:52,244,20:46,0:50,04:04:00,0,0,0:0,0:0,0:0,00:00:00,221,0.34,1:1,221,0.34,1:1,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.09,2:6,102,0.09,2:6,00:00:00,102,0.09,2:6,,Pirelli,,5,342,2:6
60,AC10,operator5_sl02@grpweb.com,2026-02-10 20:23:40.208,,BT-040351-0,BT- Recipe1,Shift 2,Other,Dhasade,14:13,0,0.0,0:0,00:00:00,99,0.09,14:30,97,0.02,14:33,100,0.23,15:2,127,4.24,15:13,223,14.51,18:52,257,14:33,18:51,04:18:00,0,0,0:0,0:0,0:0,00:00:00,217,0.6,18:55,99,0.04,14:31,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.09,19:55,100,0.04,20:21,00:25:00,100,0.04,20:21,,Pirelli,,5,367,20:21
61,AC10,operator5_sl02@grpweb.com,2026-02-10 14:13:52.915,,BT-040350-0,BT- Recipe1,Shift 1,Rangrez,Sapar,7:50,113,0.07,14:11,01:53:00,113,0.07,14:11,85,0.07,8:18,96,0.15,8:54,132,4.73,9:9,219,8.59,12:39,260,8:18,12:38,04:20:00,0,0,0:0,0:0,0:0,00:00:00,218,6.3,12:40,218,5.48,12:40,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,108,0.02,13:36,113,0.07,14:11,00:34:00,113,0.07,14:11,,Pirelli,,5,379,14:11
62,AC10,operator5_sl02@grpweb.com,2026-02-10 07:50:07.768,,BT-040348-0,BT- Recipe1,Shift 1,Rangrez,Sapar,1:1,0,0.0,0:0,00:00:00,0,0.0,0:0,0,0.0,0:0,102,0.32,1:32,139,6.09,1:49,222,14.58,5:36,273,0:0,5:35,04:33:00,0,0,0:0,0:0,0:0,00:00:00,215,3.33,5:39,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.07,7:23,93,0.08,7:46,00:22:00,93,0.08,7:46,,Pirelli,,5,405,7:46
63,AC10,operator5_sl02@grpweb.com,2026-02-10 00:37:38.338,,BT-040345-0,BT- Recipe1,Shift 3,Chavan,shinde,17:40,109,0.08,17:42,01:49:00,97,0.08,18:4,220,7.04,23:0,127,4.59,18:49,127,4.59,18:49,137,2.8,23:12,288,23:0,23:0,04:48:00,0,0,0:0,0:0,0:0,00:00:00,210,0.26,23:3,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,109,0.08,0:6,0,0.0,0:0,00:27:00,0,0.0,0:0,,Pirelli,,5,413,0:0
64,AC10,operator5_sl02@grpweb.com,2026-02-09 16:27:08.930,,BT-040344-0,BT- Recipe1,Shift 2,Other,Dixit,8:43,78,0.07,9:5,01:18:00,77,0.04,9:5,77,0.05,9:7,84,0.27,9:39,121,3.37,9:50,225,14.31,14:7,298,9:7,14:5,04:58:00,0,0,0:0,0:0,0:0,00:00:00,222,3.14,14:8,77,0.08,9:7,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,103,0.09,15:47,102,0.04,16:22,00:34:00,102,0.04,16:22,,Other,,5,457,16:22
65,AC10,operator5_sl02@grpweb.com,2026-02-07 07:01:20.411,,BT-040337-0,BT- Recipe1,Shift 3,Other,Dhasade,0:54,95,0.05,1:12,01:35:00,95,0.06,1:12,94,0.0,1:13,96,0.33,1:41,120,4.07,1:49,224,16.17,5:25,250,1:13,5:24,04:10:00,0,0,0:0,0:0,0:0,00:00:00,213,0.33,5:30,94,0.0,1:13,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.04,6:22,110,0.03,6:57,00:34:00,110,0.03,6:57,,Pirelli,,5,362,6:57
66,AC10,operator5_sl02@grpweb.com,2026-02-07 00:54:06.891,,BT-040333-0,BT- Recipe1,Shift 3,Other,Dhasade,18:40,108,0.1,18:40,01:48:00,97,0.01,18:58,95,0.06,19:1,97,0.1,19:29,139,6.27,19:45,222,15.4,23:26,263,19:1,23:24,04:23:00,0,0,0:0,0:0,0:0,00:00:00,214,0.38,23:31,214,0.38,23:31,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.08,0:21,0,0.0,0:0,00:30:00,0,0.0,0:0,,Pirelli,,5,371,0:0
67,AC10,operator4_sl02@grpweb.com,2026-02-06 18:40:21.909,,BT-040321-0,BT- Recipe1,Shift 1,Shille,Dixit,11:19,0,0.0,0:0,00:00:00,88,0.05,11:42,130,6.33,12:30,92,0.14,12:20,129,6.3,12:31,223,13.99,16:24,277,12:30,16:22,04:37:00,0,0,0:0,0:0,0:0,00:00:00,210,0.2,16:29,86,0.06,11:44,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,111,0.12,17:46,0,0.0,0:0,00:51:00,0,0.0,0:0,,Sumo Tumo,,5,438,0:0
68,AC10,operator5_sl02@grpweb.com,2026-02-06 11:19:01.116,,BT-040318-0,BT- Recipe1,Shift 1,Rangrez,Rajput,4:9,93,0.09,11:17,01:33:00,93,0.09,11:17,90,0.09,4:24,93,0.21,4:55,161,9.67,5:55,223,15.15,8:40,255,4:24,8:39,04:15:00,0,0,0:0,0:0,0:0,00:00:00,224,15.06,8:41,91,0.03,4:22,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,99,0.07,10:35,93,0.09,11:17,00:41:00,93,0.09,11:17,,Pirelli,,5,427,11:17
69,AC10,operator5_sl02@grpweb.com,2026-02-06 04:01:29.656,,BT-040314-0,BT- Recipe1,Shift 3,Other,Dhasade,22:10,110,0.19,22:11,01:50:00,103,0.17,22:27,100,0.18,22:29,98,0.18,22:59,125,4.63,23:10,222,15.55,2:33,242,22:29,2:32,04:02:00,0,0,0:0,0:0,0:0,00:00:00,214,1.29,2:37,110,0.19,22:10,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,96,0.08,3:28,95,0.08,4:0,00:32:00,95,0.08,4:0,,Pirelli,,5,349,4:0
70,AC10,operator5_sl02@grpweb.com,2026-02-05 22:09:25.838,,BT-040311-0,BT- Recipe1,Shift 2,Other,Dixit,15:55,94,0.0,16:12,01:34:00,94,0.0,16:12,94,0.01,16:15,94,0.15,16:44,135,6.25,16:56,224,15.89,20:41,264,16:15,20:40,04:24:00,0,0,0:0,0:0,0:0,00:00:00,204,0.08,20:49,94,0.01,16:14,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,112,0.1,21:36,0,0.0,0:0,00:31:00,0,0.0,0:0,,Pirelli,,5,372,0:0
71,AC10,operator5_sl02@grpweb.com,2026-02-05 15:53:25.110,,BT-040307-0,BT- Recipe1,Shift 2,Other,Dixit,8:51,97,0.04,15:50,01:37:00,97,0.04,15:50,81,0.09,9:23,93,0.53,9:51,117,4.39,10:0,220,14.46,13:37,226,9:23,13:36,04:13:00,0,0,0:0,0:0,0:0,00:00:00,220,14.48,13:37,114,4.28,9:58,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,103,0.03,15:15,97,0.04,15:50,00:34:00,97,0.04,15:50,,Sumo Tumo,,5,418,15:50
72,AC10,operator5_sl02@grpweb.com,2026-02-05 09:19:21.369,,BT-040304-0,BT- Recipe1,Shift 1,Rangrez,Ingale,2:14,109,0.01,2:16,01:49:00,104,0.06,2:37,102,0.04,2:38,98,1.95,3:2,125,5.02,3:17,223,10.86,6:40,240,2:38,6:39,04:00:00,0,0,0:0,0:0,0:0,00:00:00,215,0.3,6:43,102,0.04,2:38,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,111,0.09,8:11,0,0.0,0:0,00:35:00,0,0.0,0:0,Money check ,Other,Money check ,5,392,0:0
73,AC10,operator5_sl02@grpweb.com,2026-02-05 02:12:23.004,,BT-040301-0,BT- Recipe1,Shift 3,Other,Dhasade,20:25,111,0.04,20:25,01:51:00,103,0.07,20:46,97,0.11,20:49,105,1.01,21:25,133,5.91,21:36,222,15.03,0:44,233,20:49,0:43,03:53:00,0,0,0:0,0:0,0:0,00:00:00,211,0.47,0:49,101,0.06,20:48,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.08,1:39,102,0.03,2:9,00:29:00,102,0.03,2:9,,Pirelli,,5,343,2:9
74,AC10,operator5_sl02@grpweb.com,2026-02-04 10:33:48.369,,BT-040290-0,BT- Recipe1,Shift 1,Rangrez,shinde,4:14,94,0.02,4:41,01:34:00,93,0.09,4:42,93,0.08,4:43,93,0.15,5:6,133,5.12,5:24,223,8.39,9:4,259,4:43,9:3,04:19:00,0,0,0:0,0:0,0:0,00:00:00,222,3.28,9:5,93,0.05,4:45,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.07,10:0,100,0.05,10:32,00:31:00,100,0.05,10:32,,Pirelli,,5,377,10:32
75,AC10,operator5_sl02@grpweb.com,2026-02-02 22:10:13.107,,BT-040269-0,BT- Recipe1,Shift 1,Other,Ingale,16:21,94,0.08,16:34,01:34:00,90,0.06,16:41,90,0.11,16:42,99,0.11,17:15,122,4.13,17:22,219,10.18,20:41,214,16:42,20:40,03:57:00,0,0,0:0,0:0,0:0,00:00:00,219,10.13,20:41,109,0.05,16:22,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,105,0.07,21:43,94,0.03,22:8,00:25:00,94,0.03,22:8,,Pirelli,,5,347,22:8
76,AC10,operator4_sl02@grpweb.com,2026-02-02 10:05:59.666,,BT-040264-0,BT- Recipe1,Shift 1,Rangrez,shinde,3:40,86,0.03,10:4,01:26:00,86,0.03,10:4,86,0.08,4:0,91,0.19,4:32,131,4.56,4:44,224,11.44,8:0,238,4:0,7:59,03:58:00,0,0,0:0,0:0,0:0,00:00:00,208,0.09,8:6,87,0.08,3:59,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,114,0.04,9:8,86,0.03,10:4,00:55:00,86,0.03,10:4,,Pirelli,,5,384,10:4
77,AC10,operator5_sl02@grpweb.com,2026-02-02 03:38:36.578,,BT-040262-0,BT- Recipe1,Shift 1,Other,Dixit,22:10,106,0.01,22:13,01:46:00,90,0.09,22:29,88,0.08,22:30,99,0.22,23:3,132,5.38,23:15,220,13.61,2:0,120,22:30,1:59,03:28:00,0,0,0:0,0:0,0:0,00:00:00,206,0.12,2:8,105,0.07,22:11,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.08,3:0,0,0.0,0:0,00:36:00,0,0.0,0:0,,Other,,5,326,0:0
78,AC10,operator5_sl02@grpweb.com,2026-02-01 16:02:46.900,,BT-040254-0,BT- Recipe1,Shift 2,Other,Ingale,9:38,94,0.22,9:51,01:34:00,94,0.17,9:51,94,0.19,9:52,95,0.25,10:24,127,5.1,10:35,225,14.36,14:15,261,9:52,14:14,04:21:00,0,0,0:0,0:0,0:0,00:00:00,213,0.33,14:19,184,16.9,11:54,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.16,15:30,105,0.03,16:0,00:29:00,105,0.03,16:0,,Pirelli,,5,380,16:0
79,AC10,operator5_sl02@grpweb.com,2026-02-01 09:32:37.810,,BT-040250-0,BT- Recipe1,Shift 1,Shille,Dhasade,3:10,91,0.07,3:26,01:31:00,90,0.03,3:29,89,0.07,3:30,97,0.45,4:1,159,9.95,4:33,225,14.7,8:1,269,3:30,8:0,04:29:00,0,0,0:0,0:0,0:0,00:00:00,217,0.88,8:4,90,0.17,3:47,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.23,8:59,101,0.18,9:30,00:29:00,101,0.18,9:30,,Pirelli,,5,379,9:30
80,AC10,operator5_sl02@grpweb.com,2026-02-01 03:09:32.850,,BT-040246-0,BT- Recipe1,Shift 3,Other,Dhasade,21:2,97,0.24,21:10,01:37:00,87,0.21,21:20,86,0.15,21:22,97,0.27,21:44,139,7.81,22:5,219,6.46,1:45,261,21:22,1:44,04:21:00,0,0,0:0,0:0,0:0,00:00:00,222,4.01,1:50,86,0.15,21:22,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.33,2:32,102,0.29,3:6,00:34:00,102,0.29,3:6,,Pirelli,,5,364,3:6
81,AC10,operator5_sl02@grpweb.com,2026-01-31 21:01:47.866,,BT-040239-0,BT- Recipe1,Shift 2,Shille,Rajput,15:10,95,0.01,15:30,01:35:00,95,0.01,15:30,92,0.05,15:32,95,0.61,16:1,137,6.27,16:12,224,15.33,19:33,240,15:32,19:32,04:00:00,0,0,0:0,0:0,0:0,00:00:00,224,15.33,19:33,92,0.07,15:32,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,110,0.24,20:30,112,0.21,20:59,00:29:00,112,0.21,20:59,,Pirelli,,5,348,20:59
82,AC10,operator5_sl02@grpweb.com,2026-01-31 14:49:23.545,,BT-040237-0,BT- Recipe1,Shift 1,Rangrez,Dixit,7:51,96,0.07,8:46,01:36:00,96,0.04,8:47,96,0.0,8:49,100,0.4,9:25,132,5.0,9:32,222,16.64,12:39,135,8:49,12:38,03:49:00,0,0,0:0,0:0,0:0,00:00:00,200,0.53,12:51,96,0.05,8:48,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,103,0.07,14:6,0,0.0,0:0,00:42:00,0,0.0,0:0,,Pirelli,,5,416,0:0
83,AC10,operator5_sl02@grpweb.com,2026-01-31 07:50:50.566,,BT-040234-0,BT- Recipe1,Shift 1,Rangrez,Dixit,1:59,0,0.0,0:0,00:00:00,97,0.04,2:17,96,0.05,2:18,97,0.76,2:48,134,4.91,3:2,222,12.48,6:20,174,2:18,6:19,04:00:00,0,0,0:0,0:0,0:0,00:00:00,209,0.09,6:27,96,0.08,2:19,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,105,0.07,7:16,103,0.05,0:0,00:32:00,103,0.05,0:0,,Pirelli,,5,349,0:0
84,AC10,operator4_sl02@grpweb.com,2026-01-30 20:22:12.807,,BT-040229-0,BT- Recipe1,Shift 2,Other,Rajput,14:9,108,0.07,14:9,01:48:00,99,0.08,14:29,98,0.0,14:30,102,0.38,15:6,129,4.1,15:17,222,4.97,18:51,260,14:30,18:50,04:20:00,0,0,0:0,0:0,0:0,00:00:00,222,4.97,18:51,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.02,19:49,99,0.07,20:19,00:29:00,99,0.07,20:19,,Pirelli,,5,369,20:19
85,AC10,operator5_sl02@grpweb.com,2026-01-30 14:09:02.350,,BT-040226-0,BT- Recipe1,Shift 1,Gadagi,Dixit,7:50,90,0.04,7:53,01:30:00,85,0.06,8:13,84,0.07,8:15,85,0.35,8:43,130,4.93,9:0,222,15.89,12:42,265,8:15,12:41,04:25:00,0,0,0:0,0:0,0:0,00:00:00,211,0.62,12:47,104,0.06,14:5,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.04,13:36,102,0.08,14:4,00:27:00,102,0.08,14:4,,Other,,5,373,14:4
86,AC10,operator5_sl02@grpweb.com,2026-01-30 01:38:50.059,,BT-040220-0,BT- Recipe1,Shift 3,Other,Dhasade,19:31,96,0.08,19:32,01:36:00,86,0.06,19:49,86,0.08,19:50,97,0.53,20:25,148,6.75,21:8,216,15.64,0:7,255,19:50,0:6,04:15:00,0,0,0:0,0:0,0:0,00:00:00,211,4.11,0:10,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,98,0.07,0:57,0,0.0,0:0,00:38:00,0,0.0,0:0,,Pirelli,,5,365,0:0
87,AC10,operator5_sl02@grpweb.com,2026-01-29 19:30:47.680,,BT-040217-0,BT- Recipe1,Shift 2,Other,Methre,13:49,111,0.07,13:50,01:51:00,104,0.04,14:13,102,0.04,14:15,100,0.39,14:46,128,5.35,14:57,220,15.02,18:5,204,14:15,18:4,03:48:00,0,0,0:0,0:0,0:0,00:00:00,216,2.9,18:8,97,0.08,14:18,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,98,0.09,18:58,92,0.04,0:0,00:31:00,92,0.04,0:0,,Pirelli,,5,339,0:0
88,AC10,operator5_sl02@grpweb.com,2026-01-29 13:46:16.149,,BT-040209-0,BT- Recipe1,Shift 1,Gadagi,Dixit,7:14,106,0.16,7:16,01:46:00,96,0.2,7:38,93,0.19,7:41,94,0.25,8:16,130,5.23,8:29,225,15.75,12:14,271,7:41,12:13,04:31:00,0,0,0:0,0:0,0:0,00:00:00,206,0.33,12:20,84,0.15,7:56,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.22,13:8,0,0.0,0:0,00:35:00,0,0.0,0:0,,Pirelli,,5,389,0:0
